Job Title,Location,Company,Experience
Data Analyst (Tamil/ English),"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Zbiz Solutions,0-3 Yrs
Data Analyst,Bengaluru,ANZ,1-5 Yrs
Data Analyst,Bengaluru,Bluestone.com,2-4 Yrs
Data Analyst,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Faptic Technology,1-4 Yrs
GPSG- Data Analyst,Bengaluru,IBM,1-4 Yrs
Data Analyst,Bengaluru,Homelane,2-5 Yrs
Data Analyst - Python/Hadoop,Bengaluru,Sadup Soft,3-6 Yrs
Data Analyst III,Bengaluru,Sadup Soft,5-8 Yrs
Data Analyst-Direct/Indirect Taxation,Bengaluru,Oracle,1-6 Yrs
Data Analyst,Bengaluru,Optum,2-5 Yrs
