Job Title,Location,Company,Experience
"Data Analyst , Senior Data Analyst , Data Analyst - Tec ...","Bangalore
+8",appsoft solutions,0 to 4 Yrs
Data Analyst,Bangalore,phoenix global re settlement servic...,3 to 8 Yrs
Data Analyst,"Bangalore
+4",aryan technology,0 to 4 Yrs
Risk Data Analyst (Senior Quantitative Analyst),"Bangalore
+1",locus enterprises,4 to 9 Yrs
Healthcare Data Analyst,"Bangalore
+8",spento papers (india) llp,8 to 13 Yrs
Urgent Hiring For Data Analyst,"Bangalore
+2",diraa hr services hiring for diraa ...,0 to 4 Yrs
Data Scientist,Bangalore,phoenix global re settlement servic...,6 to 11 Yrs
Data Engineer (Lead) - Wipro) PAN India,"Bangalore
+6",wroots global private limited,6 to 9 Yrs
Data Catalog with Data Goverance,"Bangalore
+8",ltimindtree limited,6 to 11 Yrs
Business Intelligence Analyst,"Bangalore
+8",spento papers (india) llp,14 to 23 Yrs
